3128 1018 Миллионная ул., д. 15, литера А
4245 1485 Конная ул., д. 22/5, литера А
4246 1485 Конная ул., д. 26, литера А
4247 1485 Конная ул., д. 28, корп. 1, литера А
4248 1485 Конная ул., д. 30, литера А
4249 1485 Перекупной пер., д. 7, литера Г
4250 1485 Херсонская ул., д. 15-17, литера А
4251 1485 Херсонская ул., д. 19, литера А
4252 1485 Херсонская ул., д. 21, литера А
4253 1485 Херсонская ул., д. 23, корп. 1, литера А
4254 1486 Конная ул., д. 15, литера А
4255 1486 Невский пр., д. 160, литера А
4256 1486 Невский пр., д. 162, литера А
4257 1486 Невский пр., д. 164, литера А
4258 1486 Невский пр., д. 166, литера Б
4259 1486 Невский пр., д. 168, литера Б
4260 1486 Перекупной пер., д. 3, литера А
4261 1487 Конная ул., д. 11/4, литера А
4262 1488 Конная ул., д. 1/2, литера Б
4263 1488 Конная ул., д. 3/4, литера К
4264 1488 Невский пр., д. 148, литера А (лицевые фасады до исторического венчающего карниза)
4265 1488 Невский пр., д. 150, литера Е
4266 1488 Невский пр., д. 150, литера К
4267 1490 Невский пр., д. 146, литера А
4268 1492 2-я Советская ул., д. 25а, литера А
4269 1492 Дегтярная ул., д. 1а, литера А
4270 1493 2-я Советская ул., д. 25/2, литера А
4271 1493 Невский пр., д. 128, литера А
4272 1493 Невский пр., д. 132, литера А
4273 1493 Невский пр., д. 136, литера А
4274 1493 Невский пр., д. 136, литера Б
4275 1494 1-я Советская ул., д. 6, литера А
4276 1494 1-я Советская ул., д. 8, литера А
4277 1494 1-я Советская ул., д. 10, литера А
4278 1494 1-я Советская ул., д. 10, литера В
4279 1494 1-я Советская ул., д. 10, литера Г
4280 1494 2-я Советская ул., д. 7, литера А
4281 1494 2-я Советская ул., д. 9/2а, литера А
4282 1494 Невский пр., д. 126/2, литера А
4283 1494 Невский пр., д. 126/2, литера Б
4284 1494 Орловский пер., д. 5, литера А
4285 1494 Орловский пер., д. 5, литера Б
4286 1495 Лиговский пр., д. 10/118, литера А
4287 1496 Невский пр., д. 120, литера А
4288 1496 Невский пр., д. 122, литера А
4289 1496 Невский пр., д. 124, литера А
4290 1497 Гончарная ул., д. 16, литера А
4291 1497 Невский пр., д. 93, литера А
4292 1497 Невский пр., д. 97, литера А
4293 1497 Невский пр., д. 107, литера А
4294 1497 Невский пр., д. 107, литера Б
4295 1498 Невский пр., д. 113/4, литера А
4296 1498 Полтавская ул., д. 8, литера А
4297 1498 Полтавская ул., д. 10, литера А
4298 1498 Полтавская ул., д. 10, литера Б
4299 1498 Полтавская ул., д. 12, литера А (часть здания)
4300 1498 Полтавская ул., д. 14, литера А
4301 1498 Полтавская ул., д. 14, литера Г
4302 1498 Полтавская ул., д. 14, литера Д
4303 1498 Харьковская ул., д. 3-5, литера Б
4304 1499 Невский пр., д. 115, литера А
4305 1499 Невский пр., д. 115, литера В
4306 1499 Невский пр., д. 117, литера А
4307 1499 Невский пр., д. 123, литера А
4308 1499 Невский пр., д. 125, литера А
4309 1499 Невский пр., д. 127, литера В
4310 1499 Невский пр., д. 127а, литера А
4311 1499 Невский пр., д. 129, литера А
4312 1499 Невский пр., д. 129, литера Б
4313 1499 Невский пр., д. 131, литера А
4314 1499 Невский пр., д. 131, литера Б
4315 1499 Невский пр., д. 133, литера А
4316 1499 Невский пр., д. 135, литера Б
4317 1499 Невский пр., д. 139, литера Б
4318 1499 Невский пр., д. 147, литера А (часть здания)
4319 1499 Невский пр., д. 147, литера Б
4320 1499 Тележная ул., д. 26-28, литера А
4321 1500 ул. Александра Невского, д. 6, литера А
4322 1500 ул. Александра Невского, д. 10, литера А
4323 1500 Исполкомская ул., д. 7-9, литера А
4324 1500 Исполкомская ул., д. 9-11, литера А
4325 1500 Невский пр., д. 172/1, литера А
4326 1500 Невский пр., д. 174, литера А
4327 1500 Невский пр., д. 178, литера А
4328 1500 Невский пр., д. 180/2, литера А
4329 1500 Херсонская ул., д. 31, литера А
4330 1501 ул. Александра Невского, д. 5, литера Б
4331 1501 Невский пр., д. 182, литера А
4332 1501 Невский пр., д. 184, литера А
4333 1512 Невский пр., д. 151, литера А
4334 1512 Невский пр., д. 163, литера А
4335 1512 Невский пр., д. 173, литера А
4336 1512 Невский пр., д. 175, литера А
4337 1513 ул. Профессора Ивашенцова, д. 5, литера А
4338 1513 Тележная ул., д. 21, литера А
4339 1513 Тележная ул., д. 23, литера А
4340 1513 Тележная ул., д. 25-27, литера А
4341 1513 Тележная ул., д. 29, литера А
4342 1513 Тележная ул., д. 31, литера А
4343 1514 Миргородская ул., д. 10, литера А
4344 1514 Миргородская ул., д. 14, литера А
4345 1514 Миргородская ул., д. 14, литера Б
4346 1514 Миргородская ул., д. 16, литера А
4347 1514 Тележная ул., д. 3, литера А
4348 1514 Тележная ул., д. 11, литера А
4349 1514 Тележная ул., д. 13, литера А
4350 1514 Тележная ул., д. 13, литера В
4351 1514 Тележная ул., д. 15, литера А
4352 1514 Харьковская ул., д. 6/1, литера А
4353 1514 Харьковская ул., д. 8, литера А
4354 1515Б Атаманская ул., д. 6, литера Л (часть здания)
4355 1515Б Кременчугская ул., д. 25, литера А
4356 1515Б Невский пр., д. 85, литера А (часть здания)
4357 1515Б Невский пр., д. 85, литера АМ
4358 1515Б Невский пр., д. 85, литера БД
4359 1515Б Невский пр., д. 85, литера БЖ
4360 1515Б Невский пр., д. 85, литера Ф
4361 1515В Гончарная ул., д. 23, литера А
4362 1515В Гончарная ул., д. 25, литера А (часть здания)
4363 1515В Гончарная ул., д. 27, литера А
4364 1515В Гончарная ул., д. 3, литера А
4365 1515В Гончарная ул., д. 5, литера А
4366 1515В Полтавская ул., д. 5/29, литера А
4367 1515В Полтавская ул., д. 5/29, литера Б
4368 1515В Полтавская ул., д. 7, литера Ж
4369 1519 Атаманская ул., д. 3/6, литера З (часть здания)
4370 1519 Миргородская ул., д. 3, литера М
4371 1519А Чернорецкий пер., д. 4-6, литера А
4372 1521 Лиговский пр., д. 46, литера А
4373 1521 Лиговский пр., д. 48, литера А
4374 1521 Лиговский пр., д. 56, корп. 1, строение 1 (лицевой фасад)
4375 1521 Лиговский пр., д. 68, литера А
4376 1521 Лиговский пр., д. 72, литера А
4377 1521 Лиговский пр., д. 76, литера А
4378 1521 Лиговский пр., д. 78, литера А
4379 1521 Лиговский пр., д. 80, литера А
4380 1521 Лиговский пр., д. 82, литера А
4381 1521 Лиговский пр., д. 84/2, литера А
4382 1521 Лиговский пр., д. 84/2, литера Б
4383 1521 Транспортный пер., д. 2а, литера А
4384 1521 Транспортный пер., д. 6, литера А
4385 1521 Транспортный пер., д. 6, литера Б
4386 1521 Транспортный пер., д. 8, литера А
4387 1521 Транспортный пер., д. 10, литера Д
4388 1521 Транспортный пер., д. 12, литера Е
4389 1521 ул. Черняховского, д. 44, литера А
4390 1521 ул. Черняховского, д. 46, литера А
4391 1521 ул. Черняховского, д. 52, литера А
4392 1521 ул. Черняховского, д. 56, литера А
4393 1521 ул. Черняховского, д. 63-65, литера А
4394 1521 ул. Черняховского, д. 63-65, литера К
4395 1521 ул. Черняховского, д. 67, литера А
4396 1521 ул. Черняховского, д. 71, литера А
4397 1521 ул. Черняховского, д. 73, литера А
4398 1521 ул. Черняховского, д. 75, литера П
4399 1522 Лиговский пр., д. 94, литера А
4400 1522 Лиговский пр., д. 96, литера А
4401 1522 Лиговский пр., д. 98, литера А
4402 1522 Лиговский пр., д. 100-104, литера А
4403 1522 Лиговский пр., д. 106, литера А
4404 1522 Роменская ул., д. 4/22, литера А
4405 1522 Роменская ул., д. 4/22, литера Б
4406 1522 ул. Черняховского, д. 24, литера А
4407 1522 ул. Черняховского, д. 26-28, литера А
4408 1522 ул. Черняховского, д. 32, литера А
4409 1522 ул. Черняховского, д. 34, литера А
4410 1522А Днепропетровская ул., д. 2, литера Б
4411 1522А Днепропетровская ул., д. 2, литера В
4412 1522А Днепропетровская ул., д. 4, литера А
4413 1522А Днепропетровская ул., д. 6, литера А
4414 1522А Днепропетровская ул., д. 8, литера А
4415 1522А Днепропетровская ул., д. 8, литера В (лицевой корпус)
4416 1523 Днепропетровская ул., д. 3, литера А
4417 1523 Днепропетровская ул., д. 9, литера А
4418 1523 Днепропетровская ул., д. 13, литера А
4419 1523 Роменская ул., д. 8, литера А
4420 1523 Ромеснкая ул., д. 10, литера К
4421 1523 Транспортный пер., д. 5а, литера А
4422 1523 Транспортный пер., д. 7, литера А
4423 1523 Транспортный пер., д. 9, литера А
4424 1523 Транспортный пер., д. 11, литера А
4425 1523 Транспортный пер., д. 13, литера А
4426 1523 ул. Черняховского, д. 39, литера А
4427 1523 ул. Черняховского, д. 41, литера А
4428 1523 ул. Черняховского, д. 43, литера А
4429 1523 ул. Черняховского, д. 45, литера А
4430 1523 ул. Черняховского, д. 49, литера А
4431 1523 ул. Черняховского, д. 51, литера А
4432 1523 ул. Черняховского, д. 53, литера А
4433 1523 ул. Черняховского, д. 55, литера А
4434 1524 Лиговский пр., д. 108, литера А
4435 1524 Лиговский пр., д. 108, литера Б
4436 1524 Лиговский пр., д. 110, литера А
4437 1524 Лиговский пр., д. 112, литера А
4438 1524 Лиговский пр., д. 114, литера В
4439 1524 Лиговский пр., д. 116-118, литера А
4440 1524 Лиговский пр., д. 120, литера А
4441 1524 Лиговский пр., д. 124, литера А
4442 1524 Лиговский пр., д. 126, литера А
4443 1524 Лиговский пр., д. 126, литера Б
4444 1524 ул. Черняховского, д. 6/10, литера А
4445 1524 ул. Черняховского, д. 10, литера В
4446 1525 Днепропетровская ул., д. 29, литера А
4447 1525 Днепропетровская ул., д. 35, литера В
4448 1525 Днепропетровская ул., д. 41, литера А
4449 1525 Днепропетровская ул., д. 43, литера А
4450 1525 наб. Обводного кан., д. 49, литера А
4451 1525 наб. Обводного кан., д. 51, литера А
4452 1525 наб. Обводного кан., д. 51, литера Б
4453 1525 наб. Обводного кан., д. 51, литера В
4454 1525 наб. Обводного кан., д. 53, литера А
4455 1525 наб. Обводного кан., д. 55, литера А
4456 1525 наб. Обводного кан., д. 57, литера А
4457 1525 наб. Обводного кан., д. 59, литера А
4458 1525 Роменская ул., д. 9а, литера А
4459 1525 Роменская ул., д. 11, литера А
4460 1525 Роменская ул., д. 13, литера А
4461 1525 Роменская ул., д. 13, литера В
4462 1525 ул. Черняховского, д. 1/63, литера А
4463 1525 ул. Черняховского, д. 3, литера А
4464 1525 ул. Черняховского, д. 5, литера А
4465 1525 ул. Черняховского, д. 9, литера А
4466 1525 ул. Черняховского, д. 11, литера А
4467 1525 ул. Черняховского, д. 13, литера А
4468 1525 ул. Черняховского, д. 15, литера А
4469 1525 ул. Черняховского, д. 19, литера А
4470 1525 ул. Черняховского, д. 23, литера А
4471 1525 ул. Черняховского, д. 27, литера А
4472 1525 ул. Черняховского, д. 31, литера А
4473 1525 ул. Черняховского, д. 33, литера А
4474 1525 ул. Черняховского, д. 35/7, литера А
4475 1526 наб. Обводного кан., д. 69, литера А
4476 1526 наб. Обводного кан., д. 75, литера А (часть здания)
4477 1526 Павлоградский пер., д. 3, литера А
4478 1623 пер. Джамбула, д. 3, литера А
4479 1623 пер. Джамбула, д. 5, литера А
4480 1623 пер. Джамбула, д. 7, литера А
4481 1623 пер. Джамбула, д. 9
4482 1623 пер. Джамбула, д. 11, литера А
4483 1623 Загородный пр., д. 29, литера А
4484 1623 наб. р. Фонтанки, д. 82/1, литера А
4485 1624 Загородный пр., д. 15, литера А
4486 1624 Загородный пр., д. 15, литера Б
4487 1624 Загородный пр., д. 17, литера А
4488 1624 наб. р. Фонтанки, д. 68 литера А (лицевой фасад)
4489 1624А пер. Джамбула, д. 12, литера А
4490 1624А пер. Джамбула, д. 14, литера А
4491 1624А пер. Джамбула, д. 16/25, литера А
4492 1624А пер. Джамбула, д. 16/25, литера Б
4493 1624Б пер. Джамбула, д. 4, литера А
4494 1624Б наб. р. Фонтанки, д. 80/2, литера А
4495 1625 ул. Правды, д. 1/11, литера Б
4496 1625 ул. Правды, д. 5, литера А
4497 1625 ул. Правды, д. 7, литера А
4498 1625 Разъезжая ул., д. 5, литера А
4499 1625 Разъезжая ул., д. 9, литера А (часть здания)
4500 1625 Социалистическая ул., д. 4, литера А
4501 1625 Социалистическая ул., д. 10/9, литера А
4502 1626 Звенигородская ул., д. 4, литера А
4503 1626 Звенигородская ул., д. 6, литера А
4504 1626 Звенигородская ул., д. 8-10, литера К
4505 1626 Звенигородская ул., д. 12/17, литера А
4506 1626 ул. Правды, д. 15, литера А (часть здания)
4507 1626 Социалистическая ул., д. 5, литера А
4508 1691 Звенигородская ул., д. 16, литера А
4509 1691 ул. Марата, д. 67/17, литера А
4510 1691 ул. Марата, д. 67/17, литера Б
4511 1691 ул. Марата, д. 73, литера А
4512 1691 ул. Марата, д. 79а, литера А
4513 1691 ул. Правды, д. 16, литера А
4514 1691 ул. Правды, д. 18, литера А (часть здания)
4515 1691 ул. Правды, д. 20, литера А (часть здания)
4516 1691 Социалистическая ул., д. 9, литера А
4517 1691 Социалистическая ул., д. 11, литера А
4518 1691 Социалистическая ул., д. 13, литера А
4519 1691 Социалистическая ул., д. 15, литера А
4520 1692 ул. Достоевского, д. 19/21, литера А
4521 1692 ул. Достоевского, д. 19/21, литера Б
4522 1692 ул. Достоевского, д. 19/21, литера М
4523 1692 ул. Достоевского, д. 23, литера А
4524 1692 ул. Достоевского, д. 25, литера А
4525 1692 ул. Достоевского, д. 27, литера А
4526 1692 ул. Достоевского, д. 29/18, литера А
4527 1692 ул. Правды, д. 2/13, литера А
4528 1692 ул. Правды, д. 6, литера А
4529 1692 ул. Правды, д. 8, литера А
4530 1692 ул. Правды, д. 12/12, литера А
4531 1692 Разъезжая ул., д. 15, литера А
4532 1692 Разъезжая ул., д. 17, литера А
4533 1692 Разъезжая ул., д. 19, литера А (часть здания)
4534 1693 Боровая ул., д. 3, литера А
4535 1693 ул. Достоевского, д. 32, литера А
4536 1695 Боровая ул., д. 9, литера А
4537 1695 Боровая ул., д. 11-13, литера А
4538 1695 ул. Марата, д. 60/7, литера А
4539 1695 ул. Марата, д. 62, литера А
4540 1695 ул. Марата, д. 64, литера А
4541 1695 ул. Марата, д. 64, литера Б
4542 1695 ул. Марата, д. 66/22, литера Г
4543 1695 Социалистическая ул., д. 24, литера А
4544 1695 Социалистическая ул., д. 26-28/15, литера А
4545 1696 Боровая ул., д. 21, литера А
4546 1696 Боровая ул., д. 23/21, литера А
4547 1696 Звенигородская ул., д. 22, литера А
4548 1696 Звенигородская ул., д. 24, литера А
4549 1696 Звенигородская ул., д. 26, литера А
4550 1696 Звенигородская ул., д. 28, литера А
4551 1696 Звенигородская ул., д. 30, литера А
4552 1696 Звенигородская ул., д. 30а, литера Б
4553 1696 Звенигородская ул., д. 32, литера А
4554 1696 ул. Константина Заслонова, д. 25, литера А
4555 1696 ул. Константина Заслонова, д. 27, литера А
4556 1696 ул. Константина Заслонова, д. 27, литера Б
4557 1696 ул. Марата, д. 68, литера А (часть здания)
4558 1696 ул. Марата, д. 70а-70б, литера А
4559 1696 ул. Марата, д. 74, литера А
4560 1696 ул. Марата, д. 76, литера А (часть здания)
4561 1696 ул. Марата, д. 80, литера А
4562 1696 ул. Марата, д. 82, литера Х
4563 1696 ул. Марата, д. 84/18, литера А
4564 1697 Боровая ул., д. 18/1, литера А
4565 1697 Боровая ул., д. 20, литера А
4566 1697 Боровая ул., д. 22, литера А
4567 1697 Боровая ул., д. 24, литера Б
4568 1697 Боровая ул., д. 26-28, литера А
4569 1697 ул. Константина Заслонова, д. 15, литера А
4570 1697 ул. Константина Заслонова, д. 17, литера А
4571 1698 Боровая ул., д. 6, литера А
4572 1698 Боровая ул., д. 8, литера А
4573 1698 Боровая ул., д. 10, литера А
4574 1698 Боровая ул., д. 12, литера А
4575 1698 Боровая ул., д. 14, литера А
4576 1698 Боровая ул., д. 16/2, литера А
4577 1698 Коломенская ул., д. 35-37, литера А
4578 1698 Коломенская ул., д. 41, литера А
4579 1698 Коломенская ул., д. 43, литера А
4580 1698 Коломенская ул., д. 43, литера Б
4581 1698 Коломенская ул., д. 45, литера А
4582 1698 Коломенская ул., д. 45, литера Б
4583 1698 Коломенская ул., д. 45, литера В
4584 1698 ул. Марата, д. 56-58/29, литера А
4585 1698 ул. Марата, д. 56-58/29, литера Б
4586 1698 Разъезжая ул., д. 33, литера А (часть здания)
4587 1698 Разъезжая ул., д. 35, литера А
4588 1698 Разъезжая ул., д. 37, литера А
4589 1699 Коломенская ул., д. 38-40/41, литера А
4590 1699 Коломенская ул., д. 42, литера А
4591 1699 Коломенская ул., д. 44, литера А
4592 1699 Коломенская ул., д. 46, литера А
4593 1699 ул. Константина Заслонова, д. 7, литера А
4594 1699 ул. Константина Заслонова, д. 9/4, литера Б
4595 1699 Разъезжая ул., д. 43/1, литера А
4596 1700 Лиговский пр., д. 107, литера А
4597 1701 ул. Константина Заслонова, д. 4, литера А
4598 1702 Лиговский пр., д. 109, литера А
4599 1702 Лиговский пр., д. 111-113-115, литера А
4600 1702 Лиговский пр., д. 111-113-115, литера В
4601 1702 Лиговский пр., д. 117, литера А
4602 1702 Лиговский пр., д. 117, литера Г
4603 1702 Лиговский пр., д. 119, литера А
4604 1702 Лиговский пр., д. 121, литера А
4605 1702 ул. Печатника Григорьева, д. 14, литера А
4606 1703 Боровая ул., д. 29-33, литера А
4607 1703 Боровая ул., д. 35-37, литера А
4608 1703 Боровая ул., д. 35-37, литера Г
4609 1703 Боровая ул., д. 35-37, литера Д
4610 1703 ул. Константина Заслонова, д. 26, литера А
4611 1703 ул. Константина Заслонова, д. 28-30, литера А
4612 1703 ул. Константина Заслонова, д. 32-34, литера А
4613 1703 ул. Константина Заслонова, д. 36-38, литера А
4614 1703 ул. Константина Заслонова, д. 40, литера А
4615 1704 Боровая ул., д. 34/24, литера А
4616 1704 Боровая ул., д. 36-38, литера А
4617 1704 Боровая ул., д. 40, литера А
4618 1704 Воронежская ул., д. 15-17, литера А
4619 1704 ул. Тюшина, д. 16, литера А
4620 1704 ул. Тюшина, д. 18, литера А
4621 1704 ул. Тюшина, д. 20, литера А
4622 1704 ул. Тюшина, д. 20, литера Е
4623 1705 Воронежская ул., д. 5, литера А
4624 1705 ул. Печатника Григорьева, д. 16/3, литера К
4625 1706 ул. Константина Заслонова, д. 8, литера Б
4626 1706 ул. Константина Заслонова, д. 10, литера А (часть здания)
4627 1706 ул. Константина Заслонова, д. 12, литера А
4628 1706 ул. Константина Заслонова, д. 14, литера А
4629 1706 ул. Константина Заслонова, д. 14, литера Б
4630 1706 ул. Константина Заслонова, д. 18, литера А
4631 1706 ул. Константина Заслонова, д. 20, литера А
4632 1706 ул. Константина Заслонова, д. 22, литера А
4633 1707 Лиговский пр., д. 127, литера А
4634 1707 Воронежская ул., д. 12, литера А
4635 1707 Воронежская ул., д. 14, литера А
4636 1707 Воронежская ул., д. 16, литера А
4637 1707 Воронежская ул., д. 16, литера Б
4638 1707 Воронежская ул., д. 18, литера В
4639 1707 Воронежская ул., д. 22-24, литера А
4640 1707 Лиговский пр., д. 131, литера А
4641 1707 Лиговский пр., д. 133, литера А
4642 1707 Лиговский пр., д. 135, литера А (часть здания)
4643 1707 Лиговский пр., д. 137, литера А
4644 1707 Лиговский пр., д. 141, литера А
4645 1707 Лиговский пр., д. 141, литера Л
4646 1707 Лиговский пр., д. 143, литера А
4647 1707 ул. Тюшина, д. 3, литера А
4648 1707 ул. Тюшина, д. 5, литера А
4649 1708 Воронежская ул., д. 26-28, литера А
4650 1708 Лиговский пр., д. 145/2, литера А
4651 1708 Лиговский пр., д. 147, литера А
4652 1708 Лиговский пр., д. 149, литера Н
4653 1708 ул. Тюшина, д. 4, литера А
4654 1708 ул. Тюшина, д. 6, литера А
4655 1708 ул. Тюшина, д. 8, литера А
4656 1708 ул. Тюшина, д. 10, литера А
4657 1708 ул. Тюшина, д. 12, литера А
